Quote,Book,Word Count,Topic 1,Purpose,Topic_1_clean,Purpose_clean,word_count,char_count,norm_word_count,norm_char_count,is_short,is_medium,is_long,book
"where there is light, there must be shadow, and where there is shadow there must be light. there is no shadow without light and no light without shadow. karl jung said this about the shadow in one of his books it is as evil as we are positive... the more desperately we try to be good and wonderful and perfect, the more the shadow develops a definite will to be black and evil and destructive... the fact is that if one tries beyond ones capacity to be perfect, the shadow descends to hell and becomes the devil. for it is just as sinful from the standpoint of nature and of truth to be above oneself as to be below oneself.",1Q84,120,"duality, balance, light and shadow","introspection, philosophical, contemplative, enlightenment","['duality', 'balance', 'light and shadow']","['introspection', 'philosophical', 'contemplative', 'enlightenment']",120,625,0.4,0.3125,0,1,0,1Q84
"every one of us is losing something precious to us... lost opportunities, lost possibilities, feelings we can never get back again. thats what part of it means to be alive. but inside our heads- at least thats where i imagine it- theres a litle room where we store those memories. a room like the stacks in this library. and to understand the workings of our own heart we have to keep on making new reference cards. we have to dust things off every once in a while, let fresh air in, change the water in the flower vases. in other words, youll live for ever in your own private library.",Kafka on the Shore,110,"memory, loss, existence","nostalgia, reflection, acceptance","['memory', 'loss', 'existence']","['nostalgia', 'reflection', 'acceptance']",110,586,0.36666666666666664,0.293,0,1,0,Kafka on the Shore
there is nothing in this world that never takes a step outside a persons heart.,1Q84,15,"heart, connection, internal journey","reflection, realization, empathy","['heart', 'connection', 'internal journey']","['reflection', 'realization', 'empathy']",15,79,0.05,0.0395,1,0,0,1Q84
will you wait for me forever?,Norwegian Wood,6,"time, longing, uncertainty","longing, hope, uncertainty","['time', 'longing', 'uncertainty']","['longing', 'hope', 'uncertainty']",6,29,0.02,0.0145,1,0,0,Norwegian Wood
"ive had sex with lots of guys, but i think i did it mostly out of fear. i was scared not to have somebody putting his arms around me, so i could never say no. thats all. nothing good ever came of sex like that. all it does is grind down the meaning of life a piece at a time.",After Dark,60,"fear, emptiness, meaning of life","reflection, regret, disillusionment","['fear', 'emptiness', 'meaning of life']","['reflection', 'regret', 'disillusionment']",60,275,0.2,0.1375,1,0,0,After Dark
"the world of the grotesque is the darkness within us. well before freud and jung shined a light on the workings of the subconscious, this correlation between darkness and our subconscious, these two forms of darkness, was obvious to people. it wasn t a metaphor, even. if you trace it back further, it wasn t even a correlation. until edison invented the electric light, most of the world was totally covered in darkness. the physical darkness outside and the inner darkness of the soul were mixed together, with no boundary separating the two. they were directly linked. like this. oshima brings his two hands together tightly. but today things are different. the darkness in the outside world has vanished, but the darkness in our hearts remains, virtually unchanged. just like an iceberg, what we label the ego or consciousness is, for the most part, sunk in darkness. and that estrangement sometimes creates a deep contradiction or confusion within us.",Kafka on the Shore,157,"darkness, subconscious","introspection, revelation","['darkness', 'subconscious']","['introspection', 'revelation']",159,956,0.53,0.478,0,1,0,Kafka on the Shore
"i was in my house, alone in the living room, anxious about you, watching the flashes of lightning. and a flash of lightning lit up this truth for me, right in front of my eye. that night i lost you, i lost something inside me. or perhaps several things. something central to my existence, the very support for who i am as a person",1Q84,64,"loss, inner turmoil","melancholy, introspection","['loss', 'inner turmoil']","['melancholy', 'introspection']",64,330,0.21333333333333335,0.165,1,0,0,1Q84
friends dont need the intervention of a third party. friendships a voluntary thing.,Dance Dance Dance,13,"friendship, voluntary, connection","independence, trust, empowerment","['friendship', 'voluntary', 'connection']","['independence', 'trust', 'empowerment']",13,83,0.043333333333333335,0.0415,1,0,0,Dance Dance Dance
"a life without pain it was the very thing i had dreamed of for years, but now that i had it, i couldn t find a place for myself within it. a clear gap separated me from it, and this caused me great confusion. i felt as if i were not anchored to this world - this world that i had hated so passionately until then; this world that i had continued to revile for its unfairness and injustice; this world where at least i knew who i was. now the world ceased to be the world, and i had ceased to be me.",The Wind-Up Bird Chronicle,103,"pain, confusion, detachment","longing, disillusionment, existential angst","['pain', 'confusion', 'detachment']","['longing', 'disillusionment', 'existential angst']",104,498,0.3466666666666667,0.249,0,1,0,The Wind-Up Bird Chronicle
cell phones are so convenient that theyre an inconvenience.,Colorless Tsukuru Tazaki and His Years of Pilgrimage,9,"convenience, inconvenience","irony, frustration","['convenience', 'inconvenience']","['irony', 'frustration']",9,59,0.03,0.0295,1,0,0,Colorless Tsukuru Tazaki and His Years of Pilgrimage
"sometimes id wake up at two or three in the morning and not be able to fall asleep again. id get out of bed, go to the kitchen, and pour myself a whiskey. glass in hand, id look down at the darkened cemetary across teh way and the headlights of the cars on the road. the moments of time linking night and dawn were long and dark. if i could cry, it might make things easier. but what would i cry over? i was too self centered to cry for other people, too old to cry for myself.","South of the Border, West of the Sun",98,"night, solitude, contemplation","introspection, yearning, melancholy","['night', 'solitude', 'contemplation']","['introspection', 'yearning', 'melancholy']",98,477,0.32666666666666666,0.2385,0,1,0,"South of the Border, West of the Sun"
"everyone who has something is afraid of losing it, and people with nothing are worried theyll forever have nothing. everyone is the same.",Hear the Wind Sing,23,"fear, insecurity, equality","empathy, unity, introspection","['fear', 'insecurity', 'equality']","['empathy', 'unity', 'introspection']",23,137,0.07666666666666666,0.0685,1,0,0,Hear the Wind Sing
"generally, people who are good at writing letters have no need to write letters. theyve got plenty of life to lead inside their own context.",A Wild Sheep Chase,25,"writing, introspection, life","self-sufficiency, contemplation, independence","['writing', 'introspection', 'life']","['self-sufficiency', 'contemplation', 'independence']",25,140,0.08333333333333333,0.07,1,0,0,A Wild Sheep Chase
the fact that i m me and no one else is one of my greatest assets. emotional hurt is the price a person has to pay in order to be independent.,What I Talk About When I Talk About Running,30,"identity, independence, emotional resilience","empowerment, introspection, growth, self-reliance","['identity', 'independence', 'emotional resilience']","['empowerment', 'introspection', 'growth', 'self-reliance']",31,142,0.10333333333333333,0.071,1,0,0,What I Talk About When I Talk About Running
did you ever see anyone shot by a gun without bleeding?,Sputnik Sweetheart,11,"violence, consequences, reality","shock, disbelief, questioning, realization","['violence', 'consequences', 'reality']","['shock', 'disbelief', 'questioning', 'realization']",11,55,0.03666666666666667,0.0275,1,0,0,Sputnik Sweetheart
"april ended and may came along, but may was even worse than april. in the deepening spring of may, i had no choice but to recognize the trembling of my heart. it usually happened as the sun was going down. in the pale evening gloom, when the soft fragrance of magnolias hung in the air, my heart would swell without warning, and tremble, and lurch with a stab of pain. i would try clamping my eyes shut and gritting my teeth, and wait for it to pass. and it would pass....but slowly, taking its own time, and leaving a dull ache behind. at those times i would write to naoko. in my letters to her, i would describe only things that were touching or pleasant or beautiful the fragrance of grasses, the caress of a spring breeze, the light of the moon, a movie id seen, a song i liked, a book that had moved me. i myself would be comforted by letters like this when i would reread what i had written. and i would feel that the world i lived in was a wonderful one. i wrote any number of letters like this, but from naoko or reiko i heart nothing.",Norwegian Wood,203,"spring, heart, fragility","melancholy, introspection, longing, vulnerability","['spring', 'heart', 'fragility']","['melancholy', 'introspection', 'longing', 'vulnerability']",203,1044,0.6766666666666666,0.522,0,0,1,Norwegian Wood
its not as if our lives are simply divided into light and dark. theres a shadowy middle ground. recognizing and understanding the shadows is what a healthy intelligence does.,After Dark,29,"shadows, understanding, intelligence","introspection, enlightenment, growth","['shadows', 'understanding', 'intelligence']","['introspection', 'enlightenment', 'growth']",29,174,0.09666666666666666,0.087,1,0,0,After Dark
"let s say you are an empty vessel. so what? what s wrong with that? eri said. you re still a wonderful, attractive vessel. and really, does anybody know who they are? so why not be a completely beautiful vessel? the kind people feel good about, the kind people want to entrust with precious belongings.",Colorless Tsukuru Tazaki and His Years of Pilgrimage,52,"identity, self-discovery, beauty","empowerment, self-acceptance, encouragement","['identity', 'self-discovery', 'beauty']","['empowerment', 'self-acceptance', 'encouragement']",55,302,0.18333333333333332,0.151,1,0,0,Colorless Tsukuru Tazaki and His Years of Pilgrimage
"if you try to use your head to think about things, people dont want to have anything to do with you",Kafka on the Shore,21,"thought, rejection, social","alienation, introspection, realization","['thought', 'rejection', 'social']","['alienation', 'introspection', 'realization']",21,99,0.07,0.0495,1,0,0,Kafka on the Shore
"your work should be an act of love, not a marriage of convenience.","Blind Willow, Sleeping Woman",13,"love, work, authenticity","passion, fulfillment, inspiration","['love', 'work', 'authenticity']","['passion', 'fulfillment', 'inspiration']",13,66,0.043333333333333335,0.033,1,0,0,"Blind Willow, Sleeping Woman"
"perhaps most people in the world aren t trying to be free, kafka. they just think they are. it s all an illusion. if they really were set free, most people would be in a real pickle. you d better remember that. people actually prefer not being free?",Kafka on the Shore,45,"freedom, illusion, choice","realization, disillusionment, introspection","['freedom', 'illusion', 'choice']","['realization', 'disillusionment', 'introspection']",48,249,0.16,0.1245,1,0,0,Kafka on the Shore
"i dont think most people would like my personality. there might be a few--very few, i would imagine--who are impressed by it, but only rarely would anyone like it. who in the world could possibly have warm feelings, or something like them, for a person who doesnt compromise, who instead, whenever a problem crops up, locks himself away alone in a closet? but is it ever possible for a professional writer to be liked by people? i have no idea. maybe somewhere in the world it is. its hard to generalize. for me, at least, ive written novels over many years, i just cant picture someone liking me on a personal level. being disliked by someone, hated and despised, somehow seems more natural. not that im relieved when that happens. even im not happy when someone dislikes me.",What I Talk About When I Talk About Running,138,"personality, compromise, warm feelings","introspection, self-awareness","['personality', 'compromise', 'warm feelings']","['introspection', 'self-awareness']",138,776,0.46,0.388,0,1,0,What I Talk About When I Talk About Running
dont you think it would be wonderful to get rid of everything and everybody and just go someplace where you dont know a soul? sometimes i feel like doing that. i really really want to do it sometimes.,Norwegian Wood,38,"longing, escape, solitude","yearning, desire, contemplation","['longing', 'escape', 'solitude']","['yearning', 'desire', 'contemplation']",38,200,0.12666666666666668,0.1,1,0,0,Norwegian Wood
"i must be in love with this woman, sumire realized with a start. no mistake about it. ice is cold; roses are red; im in love. and this love is about to carry me off somewhere. this currents too overpowering; i dont have any choice. it may very well be a special place, some place ive never seen before. danger may be lurking there, something that may end up wounding me deeply, fatally. i might end up losing everything. but theres no turning back. i can only go with the flow. even if it means ill be burned up, gone forever.",Sputnik Sweetheart,101,"love, discovery, unknown","realization, inevitability, anticipation","['love', 'discovery', 'unknown']","['realization', 'inevitability', 'anticipation']",101,526,0.33666666666666667,0.263,0,1,0,Sputnik Sweetheart
"symbolism and meaning are two separate things. i think she found the right words by bypassing procedures like meaning and logic. she captured words in a dream, like delicately catching hold of a butterfly s wings as it flutters around. artists are those who can evade the verbose.",Kafka on the Shore,47,"symbolism, meaning, artistry","dreamlike, evocative, creativity, liberation","['symbolism', 'meaning', 'artistry']","['dreamlike', 'evocative', 'creativity', 'liberation']",48,280,0.16,0.14,1,0,0,Kafka on the Shore
"why do you like jellyfish so much? i asked. i dont know. i guess i think theyre cute, she said. but one thing did occur to me when i was really focused on them. what we see before us is just one tiny part of the world. we get into the habit of thinking, this is the world, but thats not true at all. the real world is in a much darker and deeper place than this, and most of it is occupied by jellyfish and things. we just happen to forget all that. dont you agree? two thirds of the earths surface is ocean, and all we can see of it with the naked eye is the surface the skin. we hardly know anything about whats beneath the skin.",The Wind-Up Bird Chronicle,130,"perception, reality, perspective","realization, introspection, expansion","['perception', 'reality', 'perspective']","['realization', 'introspection', 'expansion']",130,631,0.43333333333333335,0.3155,0,1,0,The Wind-Up Bird Chronicle
im your phantom dance partner. im your shadow. im not anything more.,Dance Dance Dance,12,"identity, connection, shadow","loneliness, acceptance, detachment","['identity', 'connection', 'shadow']","['loneliness', 'acceptance', 'detachment']",12,68,0.04,0.034,1,0,0,Dance Dance Dance
its like a kid standing at the window watching the rain.,Hard-Boiled Wonderland and the End of the World,11,"observation, solitude","contemplation, innocence","['observation', 'solitude']","['contemplation', 'innocence']",11,56,0.03666666666666667,0.028,1,0,0,Hard-Boiled Wonderland and the End of the World
"she was, if anything, on the plain side, at least not the type to attract men wherever she went. but there was something in her face that was meant for me alone. everytime we met, i took a good look at her. and loved what i saw.","South of the Border, West of the Sun",47,"connection, uniqueness, perception","intimacy, admiration, affection","['connection', 'uniqueness', 'perception']","['intimacy', 'admiration', 'affection']",47,228,0.15666666666666668,0.114,1,0,0,"South of the Border, West of the Sun"
i just run. i run in void. or maybe i should put it the other way i run in order to acquire a void.,What I Talk About When I Talk About Running,24,"void, running","introspection, fulfillment","['void', 'running']","['introspection', 'fulfillment']",24,99,0.08,0.0495,1,0,0,What I Talk About When I Talk About Running
"forgive me for stating the obvious, but the world is made up of all kinds of people.",What I Talk About When I Talk About Running,17,"diversity, humanity","understanding, acceptance","['diversity', 'humanity']","['understanding', 'acceptance']",17,84,0.056666666666666664,0.042,1,0,0,What I Talk About When I Talk About Running
"beyond the window, some kind of small, black thing shot across the sky. a bird, possibly. or it might have been someones soul being blown to the far side of the world.",1Q84,32,"mystery, existence, soul","wonder, contemplation, existential angst","['mystery', 'existence', 'soul']","['wonder', 'contemplation', 'existential angst']",32,167,0.10666666666666667,0.0835,1,0,0,1Q84
"in the spring of her twenty-second year, sumire fell in love for the first time in her life. an intense love, a veritable tornado sweeping across the plains",Sputnik Sweetheart,28,"love, intensity, transformation","passion, upheaval, awakening","['love', 'intensity', 'transformation']","['passion', 'upheaval', 'awakening']",28,156,0.09333333333333334,0.078,1,0,0,Sputnik Sweetheart
"its just a feeling i have. what you see with your eyes is not necessarily real. my enemy is, among other things, the me inside me.",After the Quake,26,"reality, inner conflict","introspection, self-awareness","['reality', 'inner conflict']","['introspection', 'self-awareness']",26,130,0.08666666666666667,0.065,1,0,0,After the Quake
"i would never see her again, except in memory. she was here, and now shes gone. there is no middle ground. probably is a word that you may find south of the border. but never, ever west of the sun.","South of the Border, West of the Sun",40,"memory, impermanence, loss","melancholy, acceptance, nostalgia","['memory', 'impermanence', 'loss']","['melancholy', 'acceptance', 'nostalgia']",40,197,0.13333333333333333,0.0985,1,0,0,"South of the Border, West of the Sun"
"i m not good at talking, naoko said. haven t been for the longest while. i start to say something and the wrong words come out. wrong or sometimes completely backward. i try to go back and correct it, but things get even more complicated and confused, so that i don t even remember what i started to say in the first place. like i was split into two or something, one half chasing the other. and there s this big pillar in the middle and they go chasing each other around and around it. the other me always latches onto the right word and this me absolutely never catches up",Norwegian Wood,107,"communication, confusion, struggle","frustration, disconnect, introspection, vulnerability","['communication', 'confusion', 'struggle']","['frustration', 'disconnect', 'introspection', 'vulnerability']",111,574,0.37,0.287,0,1,0,Norwegian Wood
remove everything pointless from an imperfect life and it d lose even its imperfection.,Sputnik Sweetheart,13,"imperfection, life, removal","reflection, acceptance, realization","['imperfection', 'life', 'removal']","['reflection', 'acceptance', 'realization']",14,87,0.04666666666666667,0.0435,1,0,0,Sputnik Sweetheart
"people have their own reasons for dying. it might look simple, but it never is. its just like a rock. whats above ground is only a small part of it. but if you start pulling, it keeps coming and coming. the human mind dwells deep in darkness. only the person himself knows the real reason, and maybe not even then.",Dance Dance Dance,60,"darkness, depth, complexity","introspection, revelation, understanding","['darkness', 'depth', 'complexity']","['introspection', 'revelation', 'understanding']",60,314,0.2,0.157,1,0,0,Dance Dance Dance
"he was silent for thirty seconds, maybe a minute. i uncrossed my legs under the table and wondered if this was the right moment to leave. it was as if my whole life revolved around trying to judge the right point in a conversation to say goodbye.","Blind Willow, Sleeping Woman: 24 Stories",47,"time, decision-making, life","uncertainty, introspection, significance, detachment","['time', 'decision-making', 'life']","['uncertainty', 'introspection', 'significance', 'detachment']",47,246,0.15666666666666668,0.123,1,0,0,"Blind Willow, Sleeping Woman: 24 Stories"
"once upon a time, there lived a boy and a girl. the boy was eighteen and the girl sixteen. he was not unusually handsome, and she was not especially beautiful. they were just an ordinary lonely boy and an ordinary lonely girl, like all the others. but they believed with their whole hearts that somewhere in the world there lived the 100 perfect boy and the 100 perfect girl for them. yes, they believed in a miracle. and that miracle actually happened. one day the two came upon each other on the corner of a street. this is amazing, he said. i ve been looking for you all my life. you may not believe this, but you re the 100 perfect girl for me. and you, she said to him, are the 100 perfect boy for me, exactly as i d pictured you in every detail. it s like a dream. they sat on a park bench, held hands, and told each other their stories hour after hour. they were not lonely anymore. they had found and been found by their 100 perfect other. what a wonderful thing it is to find and be found by your 100 perfect other. it s a miracle, a cosmic miracle. as they sat and talked, however, a tiny, tiny sliver of doubt took root in their hearts was it really all right for one s dreams to come true so easily? and so, when there came a momentary lull in their conversation, the boy said to the girl, let s test ourselves - just once. if we really are each other s 100 perfect lovers, then sometime, somewhere, we will meet again without fail. and when that happens, and we know that we are the 100 perfect ones, we ll marry then and there. what do you think? yes, she said, that is exactly what we should do. and so they parted, she to the east, and he to the west. the test they had agreed upon, however, was utterly unnecessary. they should never have undertaken it, because they really and truly were each other s 100 perfect lovers, and it was a miracle that they had ever met. but it was impossible for them to know this, young as they were. the cold, indifferent waves of fate proceeded to toss them unmercifully. one winter, both the boy and the girl came down with the season s terrible inluenza, and after drifting for weeks between life and death they lost all memory of their earlier years. when they awoke, their heads were as empty as the young d. h. lawrence s piggy bank. they were two bright, determined young people, however, and through their unremitting efforts they were able to acquire once again the knowledge and feeling that qualified them to return as full-fledged members of society. heaven be praised, they became truly upstanding citizens who knew how to transfer from one subway line to another, who were fully capable of sending a special-delivery letter at the post office. indeed, they even experienced love again, sometimes as much as 75 or even 85 love. time passed with shocking swiftness, and soon the boy was thirty-two, the girl thirty. one beautiful april morning, in search of a cup of coffee to start the day, the boy was walking from west to east, while the girl, intending to send a special-delivery letter, was walking from east to west, but along the same narrow street in the harajuku neighborhood of tokyo. they passed each other in the very center of the street. the faintest gleam of their lost memories glimmered for the briefest moment in their hearts. each felt a rumbling in their chest. and they knew she is the 100 perfect girl for me. he is the 100 perfect boy for me. but the glow of their memories was far too weak, and their thoughts no longer had the clarity of fouteen years earlier. without a word, they passed each other, disappearing into the crowd. forever. a sad story, don t you think?",The Elephant Vanishes,665,"ordinary, loneliness, belief","hope, connection, innocence","['ordinary', 'loneliness', 'belief']","['hope', 'connection', 'innocence']",678,3654,1.0,1.0,0,0,1,The Elephant Vanishes
"in the spring of her twenty-second year, sumire fell in love for the first time in her life.",Sputnik Sweetheart,18,"love, spring, first time","excitement, vulnerability, discovery","['love', 'spring', 'first time']","['excitement', 'vulnerability', 'discovery']",18,92,0.06,0.046,1,0,0,Sputnik Sweetheart
"i dream. sometimes i think that s the only right thing to do. to dream, to live in the world of dreams. but it doesn t last forever. wakefulness always comes to take me back.",Sputnik Sweetheart,33,"dreams, wakefulness, fleeting","longing, impermanence, acceptance","['dreams', 'wakefulness', 'fleeting']","['longing', 'impermanence', 'acceptance']",35,174,0.11666666666666667,0.087,1,0,0,Sputnik Sweetheart
"i get irritated, i get upset. especially when im in a hurry. but i see it all as part of our training. to get irritated is to lose our way in life.",A Wild Sheep Chase,32,"frustration, personal growth","introspection, resilience","['frustration', 'personal growth']","['introspection', 'resilience']",32,147,0.10666666666666667,0.0735,1,0,0,A Wild Sheep Chase
and her sleep was too long and deep for that so deep that she left her normal reality behind.,After Dark,18,"reality, depth, sleep","detachment, introspection","['reality', 'depth', 'sleep']","['detachment', 'introspection']",19,93,0.06333333333333334,0.0465,1,0,0,After Dark
"the whole terrible fight occured in the area of imagination. that is the precise location of our battlefield. it is there, that we experience our victories and defeats.",After the Quake,28,"imagination, battlefield","introspection, resilience","['imagination', 'battlefield']","['introspection', 'resilience']",28,168,0.09333333333333334,0.084,1,0,0,After the Quake
"whenever an occasion arose in which she needed an opinion on something in the wider world, she borrowed her husbands. if this had been all there was to her, she wouldnt have bothered anyone, but as is so often the case with such women, she suffered from an incurable case of of pretentiousness. lacking any internalized values of her own, such people can arrive at a standpoint only by adopting other peoples standards or views. the only principle that governs their minds is the question how do i look?",The Wind-Up Bird Chronicle,89,"gender roles, societal expectations","disillusionment, hypocrisy, self-awareness","['gender roles', 'societal expectations']","['disillusionment', 'hypocrisy', 'self-awareness']",89,503,0.2966666666666667,0.2515,0,1,0,The Wind-Up Bird Chronicle
"nakatas empty inside... do you know what it means to be completely empty? being empty is like a vacant house. an unlocked, vacant house. anybody can come in, anytime they want. thats what scares me the most",Kafka on the Shore,37,"emptiness, vulnerability, fear","insecurity, vulnerability, fear, anxiety","['emptiness', 'vulnerability', 'fear']","['insecurity', 'vulnerability', 'fear', 'anxiety']",37,206,0.12333333333333334,0.103,1,0,0,Kafka on the Shore
"i dont want our relationship to end like this. youre one of the very few friends i have, and it hurts not being able to see you. when am i going to be able to talk to you? i want you to tell me that much, at least.",Norwegian Wood,48,"friendship, longing, connection","yearning, emotional pain","['friendship', 'longing', 'connection']","['yearning', 'emotional pain']",48,214,0.16,0.107,1,0,0,Norwegian Wood
"no matter what form the relationship might take, he was the only person she could picture sharing her life with.",Sputnik Sweetheart,20,"love, connection, relationship","longing, attachment, fulfillment","['love', 'connection', 'relationship']","['longing', 'attachment', 'fulfillment']",20,112,0.06666666666666667,0.056,1,0,0,Sputnik Sweetheart
"these days i just cant seem to say what i mean, she said. i just cant. every time i try to say something, it misses the point. either that or i end up saying the opposite of what i mean. the more i try to get it right the more mixed up it gets. sometimes i cant even remember what i was trying to say in the first place. its like my bodys split in two and one of me is chasing the other me around a big pillar. were running circles around it. the other me has the right words, but i can never catch her...do you know what im trying to say? everybody has that kind of feeling sometimes, i said. you cant express yourself the way you want to, and it annoys you. obviously this wasnt what she wanted to hear.","Blind Willow, Sleeping Woman",144,"communication, confusion, memory","frustration, disconnection, introspection","['communication', 'confusion', 'memory']","['frustration', 'disconnection', 'introspection']",144,705,0.48,0.3525,0,1,0,"Blind Willow, Sleeping Woman"
"this may be the most important proposition revealed by history at the time, no one knew what was coming.",1Q84,19,"uncertainty, unpredictability, history","reflection, realization, humility","['uncertainty', 'unpredictability', 'history']","['reflection', 'realization', 'humility']",19,104,0.06333333333333334,0.052,1,0,0,1Q84
"its easy to talk big, but the important thing is whether or not you clean up the shit.",Norwegian Wood,18,"responsibility, accountability, actions","introspection, motivation, reality, determination","['responsibility', 'accountability', 'actions']","['introspection', 'motivation', 'reality', 'determination']",18,86,0.06,0.043,1,0,0,Norwegian Wood
in most cases learning something essential in life requires physical pain.,What I Talk About When I Talk About Running,11,"learning, essential, physical pain","growth, resilience, enlightenment","['learning', 'essential', 'physical pain']","['growth', 'resilience', 'enlightenment']",11,74,0.03666666666666667,0.037,1,0,0,What I Talk About When I Talk About Running
"we live in a pretty apathetic age, yet we re surrounded by an enormous amount of information about other people. if you feel like it, you can easily gather that information about them. having said that, we still hardly know anything about people.",Colorless Tsukuru Tazaki and His Years of Pilgrimage,42,"apathy, information overload","disconnect, curiosity, introspection","['apathy', 'information overload']","['disconnect', 'curiosity', 'introspection']",43,246,0.14333333333333334,0.123,1,0,0,Colorless Tsukuru Tazaki and His Years of Pilgrimage
dont let appearances fool you. theres always only one reality!,1Q84,10,"reality, illusion, perception","awareness, revelation, empowerment","['reality', 'illusion', 'perception']","['awareness', 'revelation', 'empowerment']",10,62,0.03333333333333333,0.031,1,0,0,1Q84
"time really is one big continuous cloth, no? we habitually cut out pieces of time to fit us, so we tend to fool ourselves into thinking that time is our size, but it really goes on and on.",A Wild Sheep Chase,38,"time, perception, illusion","reflection, awareness, realization","['time', 'perception', 'illusion']","['reflection', 'awareness', 'realization']",38,188,0.12666666666666668,0.094,1,0,0,A Wild Sheep Chase
people with dark souls have nothing but dark dreams. people with really dark souls do nothing but dream.,Hear the Wind Sing,18,"darkness, dreams","despair, introspection","['darkness', 'dreams']","['despair', 'introspection']",18,104,0.06,0.052,1,0,0,Hear the Wind Sing
"the world isn t that easily turned upside down, haida replied. it s people who are turned upside down.",Colorless Tsukuru Tazaki and His Years of Pilgrimage,17,"identity, transformation","introspection, realization","['identity', 'transformation']","['introspection', 'realization']",19,102,0.06333333333333334,0.051,1,0,0,Colorless Tsukuru Tazaki and His Years of Pilgrimage
"what was lost was lost. there was no retrieving it, however you schemed, no returning to how things were, no going back.",Hard-Boiled Wonderland and the End of the World,22,"loss, change, irreversibility","acceptance, resignation, realization","['loss', 'change', 'irreversibility']","['acceptance', 'resignation', 'realization']",22,120,0.07333333333333333,0.06,1,0,0,Hard-Boiled Wonderland and the End of the World
"you are a pastel-colored persian carpet, and loneliness is a bordeaux wine stain that won t come out",Men Without Women: Stories,17,"loneliness, stain, contrast","melancholy, regret","['loneliness', 'stain', 'contrast']","['melancholy', 'regret']",18,100,0.06,0.05,1,0,0,Men Without Women: Stories
the silence is so deep it hurts our ears.,After Dark,9,"silence, depth, hurt","intensity, discomfort, introspection","['silence', 'depth', 'hurt']","['intensity', 'discomfort', 'introspection']",9,41,0.03,0.0205,1,0,0,After Dark
a friend to kill time is a friend sublime.,A Wild Sheep Chase,9,"friendship, time, value","appreciation, companionship","['friendship', 'time', 'value']","['appreciation', 'companionship']",9,42,0.03,0.021,1,0,0,A Wild Sheep Chase
"he once told me about polar bears - what solitary animals they are. they mate just once a year. one time in a whole year. there is no such thing as a lasting male-female bond in their world. one male polar bear and one female polar bear meet by sheer chance somewhere in the frozen vastness, and they mate. it doesnt take long. and once they are finished, the male runs away from the female as if he is frightened to death he runs from the place where they have mated. he never looks back - literally. the rest of the year he lives in deep solitude. mutual communications - the touching of two hearts - do not exist for them. so, that is the story of polar bears - or at least it is what my employer told me about them. how very strange. yes, it is strange. i remember asking my employer, then what do polar bears exist for? yes, exactly, he said with a big smile. then what do we exist for?",After the Quake,177,"Solitude, fleeting connections","Reflection, impermanence","['solitude', 'fleeting connections']","['reflection', 'impermanence']",175,891,0.5833333333333334,0.4455,0,1,0,After the Quake
memory is like fiction; or else its fiction thats like memory.,The Elephant Vanishes,11,"memory, fiction, perception","ambiguity, reflection, uncertainty","['memory', 'fiction', 'perception']","['ambiguity', 'reflection', 'uncertainty']",11,62,0.03666666666666667,0.031,1,0,0,The Elephant Vanishes
"a person s destiny is something you look back at afterwards, not something to be known in advance.",The Wind-Up Bird Chronicle,17,"destiny, uncertainty, hindsight","reflection, acceptance, realization","['destiny', 'uncertainty', 'hindsight']","['reflection', 'acceptance', 'realization']",18,98,0.06,0.049,1,0,0,The Wind-Up Bird Chronicle
"huge organizations and me dont get along. theyre too inflexible, waste too much time, and have too many stupid people.",Hard-Boiled Wonderland and the End of the World,20,"bureaucracy, inefficiency, frustration","annoyance, cynicism","['bureaucracy', 'inefficiency', 'frustration']","['annoyance', 'cynicism']",20,118,0.06666666666666667,0.059,1,0,0,Hard-Boiled Wonderland and the End of the World
"eleven oclock had come and gone. i had to find a way to bring this conversation to a successful conclusion and get out of there. but before i could say anything, she suddenly asked me to hold her. why? i asked, caught off guard. to charge my batteries, she said. charge your batteries? my body has run out of electricity. i havent been able to sleep for days now. the minute i get to sleep i wake up, and then i cant get back to sleep. i cant think. when i get like that, somebody has to charge my batteries. otherwise, i cant go on living. its true. i peered into her eyes, wondering if she was still drunk, but they were once again her usual cool, intelligent eyes. she was far from drunk.",The Wind-Up Bird Chronicle,134,"intimacy, connection, vulnerability","surprise, intimacy, curiosity","['intimacy', 'connection', 'vulnerability']","['surprise', 'intimacy', 'curiosity']",134,691,0.44666666666666666,0.3455,0,1,0,The Wind-Up Bird Chronicle
"sometimes i feel as if im racing with my own shadow, korogi says. but thats one thing ill never be able to outrun. nobody can shake off their own shadow.",After Dark,30,"identity, self-awareness, inevitability","introspection, acceptance, resignation","['identity', 'self-awareness', 'inevitability']","['introspection', 'acceptance', 'resignation']",30,153,0.1,0.0765,1,0,0,After Dark
